Date (GMT+2),Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-09-22T00:00+02:00,12032.05466,22159.22859,87.33
2025-09-22T01:00+02:00,11801.80981,21939.55499,83.57
2025-09-22T02:00+02:00,11595.37636,22295.29788,79.21
2025-09-22T03:00+02:00,11615.06764,23422.10616,79.21
2025-09-22T04:00+02:00,12327.76012,23846.28894,80.35
2025-09-22T05:00+02:00,13932.3557,24320.50715,93.59
2025-09-22T06:00+02:00,16765.329,23969.89214,118.69
2025-09-22T07:00+02:00,18416.83575,24851.54471,130
2025-09-22T08:00+02:00,18857.5038,26997.40491,130
2025-09-22T09:00+02:00,18175.36061,29982.38463,108.57
2025-09-22T10:00+02:00,16277.8334,34285.76923,91.82
2025-09-22T11:00+02:00,13379.90286,40183.26329,77.86
2025-09-22T12:00+02:00,11156.24183,43444.04855,74.04
2025-09-22T13:00+02:00,10982.87306,44307.55336,71.17
2025-09-22T14:00+02:00,11477.07868,44215.01256,70.23
2025-09-22T15:00+02:00,12509.94291,41494.17108,78.39
2025-09-22T16:00+02:00,16373.24249,36877.30761,84.79
2025-09-22T17:00+02:00,20862.49659,30448.9174,100.13
2025-09-22T18:00+02:00,23249.07812,23854.93605,128.08
2025-09-22T19:00+02:00,23973.30832,21547.99238,140.92
2025-09-22T20:00+02:00,23891.60497,21503.18589,130
2025-09-22T21:00+02:00,23781.31836,20630.22276,114.24
2025-09-22T22:00+02:00,23067.34102,20816.08614,97.72
2025-09-22T23:00+02:00,21120.87546,20129.89512,89.99
2025-09-23T00:00+02:00,21112.37743,18802.55242,88.6
2025-09-23T01:00+02:00,21125.32669,18112.27329,90
2025-09-23T02:00+02:00,21199.15018,18093.62019,89.73
2025-09-23T03:00+02:00,21404.69493,17518.19735,89.93
2025-09-23T04:00+02:00,21917.07588,17214.89517,91.34
2025-09-23T05:00+02:00,23317.72322,16311.37806,98.11
2025-09-23T06:00+02:00,25144.12951,16241.23678,122.01
2025-09-23T07:00+02:00,26612.28262,16960.03799,172.36
2025-09-23T08:00+02:00,26378.06079,21532.10285,162.8
2025-09-23T09:00+02:00,25276.17973,29111.50137,125.76
2025-09-23T10:00+02:00,21729.17523,36687.83361,93.92
2025-09-23T11:00+02:00,18175.40234,41220.18097,85.51
2025-09-23T12:00+02:00,16257.89792,42609.07484,77.54
2025-09-23T13:00+02:00,16549.14139,43365.96454,74.24
2025-09-23T14:00+02:00,17015.16266,41936.44542,74.25
2025-09-23T15:00+02:00,19039.46716,39061.60517,84.11
2025-09-23T16:00+02:00,20803.13349,34162.25897,85.76
2025-09-23T17:00+02:00,24465.02557,28403.75209,102.9
2025-09-23T18:00+02:00,26467.26395,22991.25813,136.83
2025-09-23T19:00+02:00,26779.9608,22136.00564,149.58
2025-09-23T20:00+02:00,25867.34255,24757.06728,115.81
2025-09-23T21:00+02:00,23791.38753,27318.11339,94
2025-09-23T22:00+02:00,19899.26259,28784.82667,84.91
2025-09-23T23:00+02:00,18030.60919,28922.64308,84.1
2025-09-24T00:00+02:00,15977.38957,28518.16716,82.67
2025-09-24T01:00+02:00,15028.64064,28120.14193,82.32
2025-09-24T02:00+02:00,14956.50397,28014.62254,81.61
2025-09-24T03:00+02:00,14481.27134,28088.53559,77.95
2025-09-24T04:00+02:00,14709.81346,28424.25796,78.59
2025-09-24T05:00+02:00,15687.05779,28969.62516,82.67
2025-09-24T06:00+02:00,18271.82602,30282.64738,109.76
2025-09-24T07:00+02:00,19264.04174,31813.13054,118.01
2025-09-24T08:00+02:00,19286.16446,34705.96529,120.45
2025-09-24T09:00+02:00,,,107
2025-09-24T10:00+02:00,,,85.54
2025-09-24T11:00+02:00,,,70.09
2025-09-24T12:00+02:00,,,27.1
2025-09-24T13:00+02:00,,,10.66
2025-09-24T14:00+02:00,,,9.9
2025-09-24T15:00+02:00,,,15
2025-09-24T16:00+02:00,,,66.1
2025-09-24T17:00+02:00,,,85.69
2025-09-24T18:00+02:00,,,113.08
2025-09-24T19:00+02:00,,,115.93
2025-09-24T20:00+02:00,,,113.95
2025-09-24T21:00+02:00,,,91.29
2025-09-24T22:00+02:00,,,85.5
2025-09-24T23:00+02:00,,,69.68
2025-09-25T00:00+02:00,,,
2025-09-25T01:00+02:00,,,
2025-09-25T02:00+02:00,,,
2025-09-25T03:00+02:00,,,
2025-09-25T04:00+02:00,,,
2025-09-25T05:00+02:00,,,
2025-09-25T06:00+02:00,,,
2025-09-25T07:00+02:00,,,
2025-09-25T08:00+02:00,,,
2025-09-25T09:00+02:00,,,
2025-09-25T10:00+02:00,,,
2025-09-25T11:00+02:00,,,
2025-09-25T12:00+02:00,,,
2025-09-25T13:00+02:00,,,
2025-09-25T14:00+02:00,,,
2025-09-25T15:00+02:00,,,
2025-09-25T16:00+02:00,,,
2025-09-25T17:00+02:00,,,
2025-09-25T18:00+02:00,,,
2025-09-25T19:00+02:00,,,
2025-09-25T20:00+02:00,,,
2025-09-25T21:00+02:00,,,
2025-09-25T22:00+02:00,,,
2025-09-25T23:00+02:00,,,
